"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Germanicopolis Isauria (Darphane)","germanicopolis-isauria-en","46","1","1","en-GB","Ancient mint","Germanicopolis Isauria","An Isaurian city named in honor of Germanicus, located near modern Karaman province.","cilicia-coins"
"Koropissos (Darphane)","koropissos-en","46","1","1","en-GB","Ancient mint","Koropissos","A coin-minting city of the Isaurian region, Koropissos is near modern Mersin province.","cilicia-coins"
"Satala (Darphane)","satala-en","46","1","1","en-GB","Ancient mint","Satala","The most important Roman legion base of Armenia Minor, Satala is near modern Gumushane province. The XV Apollinaris Legion was stationed here.","pontus-coins"
"Sebasteia Armenia Minor (Darphane)","sebasteia-armenia-minor-en","46","1","1","en-GB","Ancient mint","Sebasteia Armenia Minor","A city of the Armenia Minor region named in honor of Augustus, located near modern Sivas.","pontus-coins"
"Nicopolis Armenia (Darphane)","nicopolis-armenia-en","46","1","1","en-GB","Ancient mint","Nicopolis Armenia","Meaning 'Victory City', Nicopolis is near modern Erzincan province. It was founded in honor of Pompeius's victory.","pontus-coins"
"Daskyleion (Darphane)","daskyleion-en","46","1","1","en-GB","Ancient mint","Daskyleion","The capital of the Persian Empire's Hellespontine Satrapy, Daskyleion is at modern Ergili village near Bandirma district of Balikesir province. It is known for important archaeological finds.","mysia-coins"
"Kyzikos Elektron (Darphane)","kyzikos-elektron-en","46","1","1","en-GB","Ancient mint","Kyzikos Elektron","Cyzicus, where world-famous electrum (gold-silver alloy) coins were minted, was one of the most important minting centers of the ancient world. It is near modern Bandirma district of Balikesir province.","mysia-coins"
"Dokimeion Pavonazzetto (Darphane)","dokimeion-pavonazzetto-en","46","1","1","en-GB","Ancient mint","Dokimeion Pavonazzetto","Dokimion, where the famous Pavonazzetto marble (white marble with purple veins) was quarried, was the marble source used in all important structures of the Roman Empire.","phrygia-coins"
"Tripolis Phrygia (Darphane)","tripolis-phrygia-en","46","1","1","en-GB","Ancient mint","Tripolis Phrygia","On the border of Phrygia, Lydia and Caria, Tripolis meaning 'three cities' is near modern Denizli province.","phrygia-coins"
"Peltai (Darphane)","peltai-en","46","1","1","en-GB","Ancient mint","Peltai","A coin-minting city of the Phrygian region, Peltai is within modern Manisa province.","phrygia-coins"
"Lysias (Darphane)","lysias-en","46","1","1","en-GB","Ancient mint","Lysias","A small coin-minting city of Phrygia, Lysias is within modern regional boundaries.","phrygia-coins"
"Prymnessos (Darphane)","prymnessos-en","46","1","1","en-GB","Ancient mint","Prymnessos","A coin-minting city of the Phrygian region, Prymnessos is near modern Afyonkarahisar province.","phrygia-coins"
"Tiberiopolis (Darphane)","tiberiopolis-en","46","1","1","en-GB","Ancient mint","Tiberiopolis","A Phrygian city named in honor of Emperor Tiberius, located within modern regional boundaries.","phrygia-coins"
"Traianopolis Phrygia (Darphane)","traianopolis-phrygia-en","46","1","1","en-GB","Ancient mint","Traianopolis Phrygia","A Phrygian city named in honor of Emperor Trajan, located within modern regional boundaries.","phrygia-coins"
"Dionysopolis Phrygia (Darphane)","dionysopolis-phrygia-en","46","1","1","en-GB","Ancient mint","Dionysopolis Phrygia","A Phrygian city known for its cult of Dionysus, located within modern regional boundaries.","phrygia-coins"
"Eukarpeia (Darphane)","eukarpeia-en","46","1","1","en-GB","Ancient mint","Eukarpeia","Meaning 'good fruit', Eukarpeia was a city founded in the fertile lands of Phrygia.","phrygia-coins"
"Kadoi (Darphane)","kadoi-en","46","1","1","en-GB","Ancient mint","Kadoi","A small coin-minting city of the Phrygian region, Kadoi is within modern regional boundaries.","phrygia-coins"
"Pentapolis Phrygia (Darphane)","pentapolis-phrygia-en","46","1","1","en-GB","Ancient mint","Pentapolis Phrygia","Meaning 'five cities', Pentapolis is one of the coin-minting cities of the Phrygian region. It is within modern regional boundaries.","phrygia-coins"
