"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Sesamos (Darphane)","sesamos-tr","46","1","1","tr-TR","Antik darphane","Sesamos","Paflagonya'nın küçük ama sikke basan liman kentlerinden Sesamos, günümüz Karadeniz kıyısındadır.","pontus-coins"
"Kromna (Darphane)","kromna-tr","46","1","1","tr-TR","Antik darphane","Kromna","Paflagonya kıyısındaki antik Yunan kolonisi Kromna, günümüz Kastamonu ili yakınlarındadır.","pontus-coins"
"Hadrianopolis Paphlagonia (Darphane)","hadrianopolis-paphlagonia-tr","46","1","1","tr-TR","Antik darphane","Hadrianopolis Paphlagonia","Hadrian İmparatoru tarafından Paflagonya'da kurulan kent, günümüz Karabük ili yakınlarındadır.","pontus-coins"
"Germa Galatia (Darphane)","germa-galatia-tr","46","1","1","tr-TR","Antik darphane","Germa Galatia","Galatya bölgesinin sikke basan kentlerinden Germa, günümüz Ankara ili sınırları içindedir.","galatia-coins"
"Kinna (Darphane)","kinna-tr","46","1","1","tr-TR","Antik darphane","Kinna","Galatya'nın küçük sikke basan kentlerinden Kinna, günümüz bölge sınırları içindedir.","galatia-coins"
"Mnizos (Darphane)","mnizos-tr","46","1","1","tr-TR","Antik darphane","Mnizos","Galatya bölgesinin antik kentlerinden Mnizos, günümüz Ankara ili yakınlarındadır.","galatia-coins"
"Orkistos (Darphane)","orkistos-tr","46","1","1","tr-TR","Antik darphane","Orkistos","Galatya'nın küçük ama sikke basan kentlerinden Orkistos, günümüz Eskişehir ili sınırları içindedir.","galatia-coins"
"Vindia (Darphane)","vindia-tr","46","1","1","tr-TR","Antik darphane","Vindia","Galatya bölgesinin sikke basan kentlerinden Vindia, günümüz bölge sınırları içindedir.","galatia-coins"
"Melitene (Darphane)","melitene-tr","46","1","1","tr-TR","Antik darphane","Melitene","Kapadokya'nın en doğudaki büyük kenti olan Melitene, günümüz Malatya il merkezidir. Roma lejyonlarının önemli bir üssüydü ve yoğun sikke basımı yapılmıştır.","cappadocia-coins"
"Sebasteia Cappadocia (Darphane)","sebasteia-cappadocia-tr","46","1","1","tr-TR","Antik darphane","Sebasteia Cappadocia","Kapadokya bölgesinin önemli kentlerinden Sebasteia, günümüz Sivas il merkezidir. Armenia Minor ile sınırdaydı.","cappadocia-coins"
"Faustinopolis (Darphane)","faustinopolis-tr","46","1","1","tr-TR","Antik darphane","Faustinopolis","İmparatoriçe Faustina onuruna adlandırılan kent, günümüz Kayseri ili yakınlarındadır.","cappadocia-coins"
"Podandos (Darphane)","podandos-tr","46","1","1","tr-TR","Antik darphane","Podandos","Kilikya Geçitleri yakınında stratejik bir konaklama noktası olan Podandos, günümüz Adana'nın Pozantı ilçesidir.","cappadocia-coins"
"Koloneia (Darphane)","koloneia-tr","46","1","1","tr-TR","Antik darphane","Koloneia","Kapadokya'nın kuzey kesimlerindeki sikke basan kentlerden Koloneia, günümüz bölge sınırları içindedir.","cappadocia-coins"
"Hanisa (Darphane)","hanisa-tr","46","1","1","tr-TR","Antik darphane","Hanisa","Kapadokya bölgesinin küçük sikke basan kentlerinden Hanisa, günümüz bölge sınırları içindedir.","cappadocia-coins"
"Nysa Cappadocia (Darphane)","nysa-cappadocia-tr","46","1","1","tr-TR","Antik darphane","Nysa Cappadocia","Kapadokya'nın sikke basan kentlerinden Nysa, günümüz bölge sınırları içindedir.","cappadocia-coins"
"Daldis (Darphane)","daldis-tr","46","1","1","tr-TR","Antik darphane","Daldis","Lidya bölgesinin sikke basan kentlerinden Daldis, günümüz Manisa ili sınırları içindedir. Roma döneminde aktif bir darphane merkeziydi.","lydia-coins"
"Saittai (Darphane)","saittai-tr","46","1","1","tr-TR","Antik darphane","Saittai","Sidas olarak da bilinen Saittai, Lidya'nın sikke basan kentlerinden biridir. Günümüz Manisa ili yakınlarındadır.","lydia-coins"
"Tabala (Darphane)","tabala-tr","46","1","1","tr-TR","Antik darphane","Tabala","Lidya bölgesinin küçük sikke basan kentlerinden Tabala, günümüz bölge sınırları içindedir.","lydia-coins"
"Blaundos (Darphane)","blaundos-tr","46","1","1","tr-TR","Antik darphane","Blaundos","Lidya-Frigya sınırında önemli bir kent olan Blaundos, günümüz Uşak'ın Ulubey ilçesi yakınlarındaki Sülümenli köyündedir. Doğal kaya köprüleriyle ünlüdür.","lydia-coins"
"Aureliopolis (Darphane)","aureliopolis-tr","46","1","1","tr-TR","Antik darphane","Aureliopolis","Marcus Aurelius İmparatoru onuruna adlandırılan Lidya kenti, günümüz bölge sınırları içindedir.","lydia-coins"
"Mostene (Darphane)","mostene-tr","46","1","1","tr-TR","Antik darphane","Mostene","Lidya bölgesinin sikke basan kentlerinden Mostene, günümüz Manisa ili yakınlarındadır.","lydia-coins"
"Silandos (Darphane)","silandos-tr","46","1","1","tr-TR","Antik darphane","Silandos","Lidya'nın sikke basan kentlerinden Silandos, günümüz Manisa ili sınırları içindedir.","lydia-coins"
"Kollyda (Darphane)","kollyda-tr","46","1","1","tr-TR","Antik darphane","Kollyda","Lidya bölgesinin küçük sikke basan kentlerinden Kollyda, günümüz bölge sınırları içindedir.","lydia-coins"
"Akrasos (Darphane)","akrasos-tr","46","1","1","tr-TR","Antik darphane","Akrasos","Lidya'nın sikke basan kentlerinden Akrasos, günümüz Manisa ili yakınlarındadır.","lydia-coins"
"Derbe (Darphane)","derbe-tr","46","1","1","tr-TR","Antik darphane","Derbe","Aziz Paulus'un ziyaret ettiği Likaonya kentlerinden Derbe, günümüz Konya ili sınırları içindedir. Erken Hristiyanlık tarihi için önemlidir.","lycia-coins"
"Lystra (Darphane)","lystra-tr","46","1","1","tr-TR","Antik darphane","Lystra","Aziz Paulus ve Barnabas'ın vaaz verdiği Likaonya kenti, günümüz Konya'nın Hatunsaray ilçesi yakınlarındadır.","lycia-coins"
"Laranda (Darphane)","laranda-tr","46","1","1","tr-TR","Antik darphane","Laranda","Likaonya'nın önemli kentlerinden Laranda, günümüz Konya'nın Karaman ilçesidir. Karamanoğulları Beyliği'nin merkezi olmadan önce antik bir darphane kentiydi.","lycia-coins"
"Isaura (Darphane)","isaura-tr","46","1","1","tr-TR","Antik darphane","Isaura","Dağlık İsaurya bölgesinin başkenti Isaura, günümüz Konya ili dağlık kesimlerindedir. Roma'ya karşı uzun süre direnen yerli halkın merkeziydi.","cilicia-coins"
"Germanicopolis Isauria (Darphane)","germanicopolis-isauria-tr","46","1","1","tr-TR","Antik darphane","Germanicopolis Isauria","Germanicus onuruna adlandırılan İsaurya kenti, günümüz Karaman ili yakınlarındadır.","cilicia-coins"
"Koropissos (Darphane)","koropissos-tr","46","1","1","tr-TR","Antik darphane","Koropissos","İsaurya bölgesinin sikke basan kentlerinden Koropissos, günümüz Mersin ili yakınlarındadır.","cilicia-coins"
"Satala (Darphane)","satala-tr","46","1","1","tr-TR","Antik darphane","Satala","Armenia Minor'un en önemli Roma lejyon üssü olan Satala, günümüz Gümüşhane ili yakınlarındadır. XV Apollinaris Lejyonu burada konuşlanmıştı.","pontus-coins"
"Sebasteia Armenia Minor (Darphane)","sebasteia-armenia-minor-tr","46","1","1","tr-TR","Antik darphane","Sebasteia Armenia Minor","Armenia Minor bölgesinin Augustus onuruna adlandırılan kenti, günümüz Sivas yakınlarındadır.","pontus-coins"
"Nicopolis Armenia (Darphane)","nicopolis-armenia-tr","46","1","1","tr-TR","Antik darphane","Nicopolis Armenia","'Zafer Şehri' anlamına gelen Nicopolis, günümüz Erzincan ili yakınlarındadır. Pompeius'un zaferi onuruna kurulmuştur.","pontus-coins"
"Daskyleion (Darphane)","daskyleion-tr","46","1","1","tr-TR","Antik darphane","Daskyleion","Pers İmparatorluğu'nun Hellespontos Satraplığı'nın başkenti olan Daskyleion, günümüz Balıkesir'in Bandırma ilçesi yakınlarındaki Ergili köyündedir. Önemli arkeolojik buluntularla bilinir.","mysia-coins"
"Kyzikos Elektron (Darphane)","kyzikos-elektron-tr","46","1","1","tr-TR","Antik darphane","Kyzikos Elektron","Dünyaca ünlü elektron (altın-gümüş alaşımı) sikkelerin basıldığı Kyzikos, antik dünyanın en önemli darphane merkezlerinden biriydi. Günümüz Balıkesir'in Bandırma ilçesi yakınlarındadır.","mysia-coins"
"Dokimeion Pavonazzetto (Darphane)","dokimeion-pavonazzetto-tr","46","1","1","tr-TR","Antik darphane","Dokimeion Pavonazzetto","Ünlü Pavonazzetto mermerinin (mor damarli beyaz mermer) çıkarıldığı Dokimeion, Roma İmparatorluğu'nun tüm önemli yapılarında kullanılan mermer kaynağıydı.","phrygia-coins"
"Tripolis Phrygia (Darphane)","tripolis-phrygia-tr","46","1","1","tr-TR","Antik darphane","Tripolis Phrygia","Frigya, Lidya ve Karya sınırında 'üç şehir' anlamına gelen Tripolis, günümüz Denizli ili yakınlarındadır.","phrygia-coins"
"Peltai (Darphane)","peltai-tr","46","1","1","tr-TR","Antik darphane","Peltai","Frigya bölgesinin sikke basan kentlerinden Peltai, günümüz Manisa ili sınırları içindedir.","phrygia-coins"
"Lysias (Darphane)","lysias-tr","46","1","1","tr-TR","Antik darphane","Lysias","Frigya'nın küçük sikke basan kentlerinden Lysias, günümüz bölge sınırları içindedir.","phrygia-coins"
"Prymnessos (Darphane)","prymnessos-tr","46","1","1","tr-TR","Antik darphane","Prymnessos","Frigya bölgesinin sikke basan kentlerinden Prymnessos, günümüz Afyonkarahisar ili yakınlarındadır.","phrygia-coins"
"Tiberiopolis (Darphane)","tiberiopolis-tr","46","1","1","tr-TR","Antik darphane","Tiberiopolis","Tiberius İmparatoru onuruna adlandırılan Frigya kenti, günümüz bölge sınırları içindedir.","phrygia-coins"
"Traianopolis Phrygia (Darphane)","traianopolis-phrygia-tr","46","1","1","tr-TR","Antik darphane","Traianopolis Phrygia","Traianus İmparatoru onuruna adlandırılan Frigya kenti, günümüz bölge sınırları içindedir.","phrygia-coins"
"Dionysopolis Phrygia (Darphane)","dionysopolis-phrygia-tr","46","1","1","tr-TR","Antik darphane","Dionysopolis Phrygia","Dionysos kültüyle bilinen Frigya kenti, günümüz bölge sınırları içindedir.","phrygia-coins"
"Eukarpeia (Darphane)","eukarpeia-tr","46","1","1","tr-TR","Antik darphane","Eukarpeia","'İyi meyve' anlamına gelen Eukarpeia, Frigya'nın verimli topraklarında kurulan bir kenttir.","phrygia-coins"
"Kadoi (Darphane)","kadoi-tr","46","1","1","tr-TR","Antik darphane","Kadoi","Frigya bölgesinin küçük sikke basan kentlerinden Kadoi, günümüz bölge sınırları içindedir.","phrygia-coins"
"Pentapolis Phrygia (Darphane)","pentapolis-phrygia-tr","46","1","1","tr-TR","Antik darphane","Pentapolis Phrygia","'Beş şehir' anlamına gelen Pentapolis, Frigya bölgesinin sikke basan kentlerinden biridir. Günümüz bölge sınırları içindedir.","phrygia-coins"
"Thyateira (Darphane)","thyateira-tr","46","1","1","tr-TR","Antik darphane","Thyateira","Yedi Kilise'den biri olarak kutsal metinlerde de adı geçen bu Lidya kenti, günümüz Manisa'nın Akhisar ilçesidir. Tekstil endüstrisi ve mor boya üretimiyle ünlüydü.","lydia-coins"
"Philadelphia (Darphane)","philadelphia-tr","46","1","1","tr-TR","Antik darphane","Philadelphia","Yedi Kilise'den bir diğeri olan Philadelphia, günümüz Manisa'nın Alaşehir ilçesidir. Bergama Kralı II. Attalos Philadelphos tarafından kurulmuştur.","lydia-coins"
"Magnesia ad Sipylum (Darphane)","magnesia-ad-sipylum-tr","46","1","1","tr-TR","Antik darphane","Magnesia ad Sipylum","Sipylos Dağı (Manisa Dağı) eteklerinde kurulan bu antik kent, günümüz Manisa il merkezinin temelini oluşturur. Ağlayan Kaya (Niobe) efsanesiyle ünlüdür.","lydia-coins"
"Tralles (Darphane)","tralles-tr","46","1","1","tr-TR","Antik darphane","Tralles","Menderes Nehri vadisinde önemli bir ticaret merkezi olan Tralles, günümüz Aydın il merkezinin bulunduğu yerdedir. Roma döneminde zengin bir sikke basım merkezi olarak bilinir.","lydia-coins"
"Hypaepa (Darphane)","hypaepa-tr","46","1","1","tr-TR","Antik darphane","Hypaepa","Lidya'nın küçük ama önemli sikke basan kentlerinden biri olan Hypaepa, günümüz İzmir'in Ödemiş ilçesi yakınlarında yer alır. Artemis Anaitis kültüyle bilinir.","lydia-coins"
"Hierapolis (Darphane)","hierapolis-tr","46","1","1","tr-TR","Antik darphane","Hierapolis","Termal kaynakları ve travertenler (Pamukkale) ile ünlü bu kent, günümüz Denizli'nin Pamukkale ilçesindedir. UNESCO Dünya Mirası listesinde yer alır.","phrygia-coins"
"Synnada (Darphane)","synnada-tr","46","1","1","tr-TR","Antik darphane","Synnada","Frigya'nın önemli mermer merkezlerinden biri olan Synnada, günümüz Afyonkarahisar'ın Şuhut ilçesi yakınlarındadır. 'Synnadik mermeri' antik dünyada çok değerliydi.","phrygia-coins"
"Aizanoi (Darphane)","aizanoi-tr","46","1","1","tr-TR","Antik darphane","Aizanoi","En iyi korunmuş Zeus tapınağına sahip olan Aizanoi, günümüz Kütahya'nın Çavdarhisar ilçesindedir. Frigya'nın önemli sikke merkezlerinden biriydi.","phrygia-coins"
"Eumeneia (Darphane)","eumeneia-tr","46","1","1","tr-TR","Antik darphane","Eumeneia","Bergama Kralı II. Eumenes tarafından kurulan bu kent, günümüz Afyonkarahisar'ın İşkilli köyü yakınlarındadır. Frigya bölgesinin önemli darphane merkezlerinden biriydi.","phrygia-coins"
"Kolossai (Darphane)","kolossai-tr","46","1","1","tr-TR","Antik darphane","Kolossai","Hristiyanlık tarihinde önemli bir yere sahip olan Kolossai (Koloseliler Mektubu), günümüz Denizli'nin Honaz ilçesi yakınlarındadır.","phrygia-coins"
"Erythrai (Darphane)","erythrai-tr","46","1","1","tr-TR","Antik darphane","Erythrai","On İki İyon Kenti'nden biri olan Erythrai, günümüz İzmir'in Çeşme ilçesindeki Ildırı köyü yakınlarındadır. Sibyl (kahin) geleneğiyle ünlüdür.","ionia-coins"
"Kolophon (Darphane)","kolophon-tr","46","1","1","tr-TR","Antik darphane","Kolophon","Güçlü süvarileriyle ünlü bu İyon kenti, günümüz İzmir'in Menderes ilçesindeki Değirmendere köyü yakınlarındadır. 'Finishing touch' anlamına gelen İngilizce 'colophon' kelimesi buradan gelir.","ionia-coins"
"Lebedos (Darphane)","lebedos-tr","46","1","1","tr-TR","Antik darphane","Lebedos","On İki İyon Kenti'nden biri olan Lebedos, günümüz İzmir'in Seferihisar ilçesindeki Ürkmez köyü yakınlarındadır. Dionysos festivalleriyle bilinirdi.","ionia-coins"
"Priene (Darphane)","priene-tr","46","1","1","tr-TR","Antik darphane","Priene","Klasik Yunan şehir planlamasının en güzel örneklerinden biri olan Priene, günümüz Aydın'ın Söke ilçesi yakınlarındaki Güllübahçe köyündedir. Athena Polias tapınağıyla ünlüdür.","ionia-coins"
"Magnesia ad Maeandrum (Darphane)","magnesia-ad-maeandrum-tr","46","1","1","tr-TR","Antik darphane","Magnesia ad Maeandrum","Büyük Menderes Nehri (antik Maeander) kıyısında kurulan bu kent, günümüz Aydın'ın Ortaklar ilçesi yakınlarındadır. Artemis Leukophryene tapınağıyla ünlüdür.","ionia-coins"
"Nysa ad Maeandrum (Darphane)","nysa-ad-maeandrum-tr","46","1","1","tr-TR","Antik darphane","Nysa ad Maeandrum","Önemli bir eğitim merkezi olan Nysa, günümüz Aydın'ın Sultanhisar ilçesi yakınlarındadır. 2.200 kişilik tiyatrosu ve kütüphanesiyle bilinir.","ionia-coins"
"Iasos (Darphane)","iasos-tr","46","1","1","tr-TR","Antik darphane","Iasos","Balık ve deniz ürünleriyle ünlü bu Karya kenti, günümüz Muğla'nın Milas ilçesindeki Kıyıkışlacık köyü yakınlarındadır. Balıkçılık tanrıçası heykelleri burada bulunmuştur.","caria-coins"
"Alabanda (Darphane)","alabanda-tr","46","1","1","tr-TR","Antik darphane","Alabanda","At yetiştiriciliği ve at figürlü sikkeleriyle ünlü Alabanda, günümüz Aydın'ın Çine ilçesi yakınlarındaki Araphisar köyündedir.","caria-coins"
"Alinda (Darphane)","alinda-tr","46","1","1","tr-TR","Antik darphane","Alinda","Karya Krallığı'nın önemli kalelerinden biri olan Alinda, günümüz Aydın'ın Çine ilçesindeki Karpuzlu yakınlarındadır. Ada Kraliçesi'nin hazinesinin saklandığı yerdi.","caria-coins"
"Kaunos (Darphane)","kaunos-tr","46","1","1","tr-TR","Antik darphane","Kaunos","Kaya mezarları ve antik limanıyla ünlü Kaunos, günümüz Muğla'nın Dalyan bölgesindedir. Karya-Lykia sınırında stratejik bir liman kentiydi.","caria-coins"
"Myndos (Darphane)","myndos-tr","46","1","1","tr-TR","Antik darphane","Myndos","Büyük İskender'in kuşattığı Myndos, günümüz Muğla'nın Bodrum ilçesindeki Gümüşlük köyündedir. Antik liman yapıları hala su altında görülebilir.","caria-coins"
"Phaselis (Darphane)","phaselis-tr","46","1","1","tr-TR","Antik darphane","Phaselis","Üç limanıyla ünlü bu önemli ticaret kenti, günümüz Antalya'nın Kemer ilçesi yakınlarındadır. Roma su kemerleri ve antik liman kalıntılarıyla bilinir.","lycia-coins"
"Limyra (Darphane)","limyra-tr","46","1","1","tr-TR","Antik darphane","Limyra","Kaya mezarları ve anıt mezarlarıyla ünlü Limyra, günümüz Antalya'nın Finike ilçesi yakınlarındaki Turunçova köyündedir. Lykia'nın en eski yerleşimlerinden biridir.","lycia-coins"
"Pinara (Darphane)","pinara-tr","46","1","1","tr-TR","Antik darphane","Pinara","Yüzlerce kaya mezarıyla ünlü 'mezarlar şehri' Pinara, günümüz Muğla'nın Fethiye ilçesindeki Minare köyü yakınlarındadır. Lykia Birliği'nin önemli kentlerinden biriydi.","lycia-coins"
"Ariassos (Darphane)","ariassos-tr","46","1","1","tr-TR","Antik darphane","Ariassos","Yüksek bir tepe üzerine kurulmuş olan Ariassos, günümüz Isparta'nın Yalvaç ilçesi yakınlarındadır. Stadyumu ve su yapılarıyla dikkat çeker.","pisidia-coins"
"Adada (Darphane)","adada-tr","46","1","1","tr-TR","Antik darphane","Adada","Pisidya'nın iyi korunmuş kentlerinden Adada, günümüz Isparta'nın Sütçüler ilçesi yakınlarındaki Sağrak köyündedir. İki tapınak ve tiyatrosuyla bilinir.","pisidia-coins"
"Konana (Darphane)","konana-tr","46","1","1","tr-TR","Antik darphane","Konana","Önemli bir Pisidya kenti olan Konana, günümüz Isparta ili sınırları içindedir. Sikke basımında Pisidya geleneğini sürdürmüştür.","pisidia-coins"
"Sillyon (Darphane)","sillyon-tr","46","1","1","tr-TR","Antik darphane","Sillyon","Yüksek bir tepe üzerinde kurulan Sillyon, günümüz Antalya'nın Serik ilçesi yakınlarındadır. Asurlular dönemine kadar uzanan köklü bir geçmişe sahiptir.","pamphylia-coins"
"Magydos (Darphane)","magydos-tr","46","1","1","tr-TR","Antik darphane","Magydos","Antik bir liman kenti olan Magydos, günümüz Antalya'nın Lara bölgesindedir. Pamfilya'nın küçük ama önemli sikke merkezlerinden biriydi.","pamphylia-coins"
"Aigeai (Darphane)","aigeai-tr","46","1","1","tr-TR","Antik darphane","Aigeai","Asklepios kültü ve şifa merkeziyle ünlü Aigeai, günümüz Adana'nın Yumurtalık ilçesindedir. Kilikya bölgesinin önemli liman ve darphane kentlerinden biriydi.","cilicia-coins"
"Kelenderis (Darphane)","kelenderis-tr","46","1","1","tr-TR","Antik darphane","Kelenderis","Stratejik konumu nedeniyle önemli bir liman kenti olan Kelenderis, günümüz Mersin'in Aydıncık ilçesidir. Kilikya korsanlarının da kullandığı bir üs noktasıydı.","cilicia-coins"
"Issos (Darphane)","issos-tr","46","1","1","tr-TR","Antik darphane","Issos","Büyük İskender'in Pers Kralı III. Dareios'u yendiği ünlü İssos Savaşı'nın geçtiği yer olan bu kent, günümüz Hatay'ın İskenderun ilçesi yakınlarındadır.","cilicia-coins"
"Mallos (Darphane)","mallos-tr","46","1","1","tr-TR","Antik darphane","Mallos","Kahin Amphilochos tarafından kurulduğuna inanılan Mallos, günümüz Adana'nın Karataş ilçesi yakınlarındadır. Kilikya'nın önemli sikke merkezlerinden biriydi.","cilicia-coins"
"Kastabala (Darphane)","kastabala-tr","46","1","1","tr-TR","Antik darphane","Kastabala","Artemis Perasia kültüyle ünlü Kastabala, günümüz Osmaniye'nin Kadirli ilçesi yakınlarındadır. Helenistik ve Roma dönemlerinde önemli bir sikke basım merkeziydi.","cilicia-coins"
"Komana (Darphane)","komana-tr","46","1","1","tr-TR","Antik darphane","Komana","Ma tanrıçası kültünün merkezi olan Komana, günümüz Adana ili sınırları içindedir. Önemli bir kutsal kent ve darphane merkeziydi.","cilicia-coins"
"Nicopolis (Darphane)","nicopolis-tr","46","1","1","tr-TR","Antik darphane","Nicopolis","Roma İmparatoru Pompeius Magnus tarafından kurulan 'Zafer Şehri' Nicopolis, günümüz Amasya ili yakınlarındadır. Pontus bölgesinin önemli Roma darphanelerinden biriydi.","pontus-coins"
"Komana Pontika (Darphane)","komana-pontika-tr","46","1","1","tr-TR","Antik darphane","Komana Pontika","Ma-Enyo tanrıçası kültünün merkezi olan Komana Pontika, günümüz Tokat'ın Gümenek köyü yakınlarındadır. Önemli bir dini ve ticaret merkeziydi.","pontus-coins"
"Sebastopolis (Darphane)","sebastopolis-tr","46","1","1","tr-TR","Antik darphane","Sebastopolis","Pontus bölgesinin önemli kentlerinden Sebastopolis, günümüz Tokat ili sınırları içindedir. Roma döneminde gelişen bir sikke basım merkeziydi.","pontus-coins"
"Zela (Darphane)","zela-tr","46","1","1","tr-TR","Antik darphane","Zela","Julius Caesar'ın 'Veni, vidi, vici' (Geldim, gördüm, yendim) sözünü söylediği Zela Savaşı'nın geçtiği yer, günümüz Tokat'ın Zile ilçesidir.","pontus-coins"
"Kios (Darphane)","kios-tr","46","1","1","tr-TR","Antik darphane","Kios","Marmara Denizi kıyısında önemli bir liman kenti olan Kios, günümüz Bursa'nın Gemlik ilçesidir. Bitinya'nın erken dönem sikke merkezlerinden biriydi.","bithynia-coins"
"Apameia Myrlea (Darphane)","apameia-myrlea-tr","46","1","1","tr-TR","Antik darphane","Apameia Myrlea","Bitinya Kralı I. Prusias tarafından yeniden kurulan bu kent, günümüz Bursa'nın Mudanya ilçesidir. Roma döneminde önemli bir darphane merkeziydi.","bithynia-coins"
"Iuliopolis (Darphane)","iuliopolis-tr","46","1","1","tr-TR","Antik darphane","Iuliopolis","Roma İmparatoru Augustus döneminde kurulan Iuliopolis, günümüz Bolu ili sınırları içindedir. Bitinya'nın iç kesimlerindeki önemli sikke merkezlerinden biriydi.","bithynia-coins"
"Ankyra Galatia (Darphane)","ankyra-galatia-tr","46","1","1","tr-TR","Antik darphane","Ankyra Galatia","Galatya'nın başkenti ve Augustus Tapınağı'nın bulunduğu Ankyra, günümüz Ankara'dır. Roma İmparatorluğu'nun doğudaki en önemli darphane merkezlerinden biriydi.","galatia-coins"
"Neapolis (Darphane)","neapolis-tr","46","1","1","tr-TR","Antik darphane","Neapolis","Kapadokya bölgesinde önemli bir kent olan Neapolis, günümüz Nevşehir ili yakınlarındadır. Bölgenin sikke basımına katkı sağlayan merkezlerden biriydi.","cappadocia-coins"
"Komana Kappadokia (Darphane)","komana-kappadokia-tr","46","1","1","tr-TR","Antik darphane","Komana Kappadokia","Ma tanrıçası kültünün Kapadokya'daki merkezi olan Komana, günümüz Tokat ili sınırları içindedir. Önemli bir dini ve ekonomik merkezdi.","cappadocia-coins"
"Kybistra (Darphane)","kybistra-tr","46","1","1","tr-TR","Antik darphane","Kybistra","Kapadokya'nın güney kesimindeki önemli kentlerden Kybistra, günümüz Karaman'ın Ereğli ilçesidir. İpek Yolu üzerinde stratejik bir konuma sahipti.","cappadocia-coins"
"Elaia (Darphane)","elaia-tr","46","1","1","tr-TR","Antik darphane","Elaia","Pergamon'un liman kenti olan Elaia, günümüz İzmir'in Aliağa ilçesindeki Zeytindağ köyü yakınlarındadır. Bergama Krallığı'nın deniz ticareti için önemliydi.","aeolis-coins"
"Aigai Aiolis (Darphane)","aigai-aiolis-tr","46","1","1","tr-TR","Antik darphane","Aigai Aiolis","Aeolis'in önemli kentlerinden Aigai, günümüz İzmir'in Manisa Yuntdağları yakınlarındadır. Apollon Chresterios kültüyle bilinir.","aeolis-coins"
"Alexandreia Troas Ek (Darphane)","alexandreia-troas-ek-tr","46","1","1","tr-TR","Antik darphane","Alexandreia Troas","Büyük İskender'in generalleri tarafından kurulan ve 'Küçük Roma' olarak anılan bu devasa liman kenti, Çanakkale'nin Ezine ilçesi yakınlarındadır. Roma döneminde çok yoğun sikke basımı yapılmıştır.","troas-coins"
"Gryneion (Darphane)","gryneion-tr","46","1","1","tr-TR","Antik darphane","Gryneion","Apollon Tapınağı ile ünlü bu kent, günümüz İzmir'in Aliağa ilçesi yakınlarındadır.","aeolis-coins"
"Kyme (Darphane)","kyme-tr","46","1","1","tr-TR","Antik darphane","Kyme","İzmir'in Aliağa ilçesi yakınlarında yer alan, Aeolis'in anakaradaki en büyük ve en önemli liman kentidir.","aeolis-coins"
"Larissa (Phrikonis) (Darphane)","larissa-tr","46","1","1","tr-TR","Antik darphane","Larissa (Phrikonis)","Günümüz İzmir'in Menemen ilçesi yakınlarındaki Buruncuk mevkiinde bulunan bir Aiol kentidir.","aeolis-coins"
"Myrina (Darphane)","myrina-tr","46","1","1","tr-TR","Antik darphane","Myrina","Günümüz İzmir'in Aliağa ilçesi sınırları içinde, Kyme'ye komşu bir diğer önemli liman kentidir.","aeolis-coins"
"Mytilene (Midilli) (Darphane)","mytilene-tr","46","1","1","tr-TR","Antik darphane","Mytilene (Midilli)","Aeolis'in ada kanadının en güçlü kenti olan Lesbos (Midilli) adasının başkentidir. Antik lirik şiirin (Sappho gibi) merkezlerinden biriydi.","aeolis-coins"
"Pitane (Darphane)","pitane-tr","46","1","1","tr-TR","Antik darphane","Pitane","Günümüzdeki İzmir'in Dikili ilçesine bağlı Çandarlı beldesinin bulunduğu yerde kurulmuştur.","aeolis-coins"
"Herakleia Pontika (Heraclea Pontica) (Darphane)","herakleia-pontika-tr","46","1","1","tr-TR","Antik darphane","Herakleia Pontika (Heraclea Pontica)","Karadeniz kıyısındaki önemli bir liman kenti olan Herakleia, günümüz Zonguldak'ın Karadeniz Ereğli ilçesidir.","bithynia-coins"
"Kalkedon (Chalcedon) (Darphane)","kalkedon-tr","46","1","1","tr-TR","Antik darphane","Kalkedon (Chalcedon)","İstanbul'un tam karşısında yer alan bu antik liman kenti, günümüz İstanbul'unun Kadıköy ilçesinin bulunduğu yerdedir.","bithynia-coins"
"Nikaia (Nicaea) (Darphane)","nikaia-tr","46","1","1","tr-TR","Antik darphane","Nikaia (Nicaea)","Hristiyanlık tarihi için kritik öneme sahip İznik Konsili'nin toplandığı bu şehir, günümüz Bursa'nın İznik ilçesidir.","bithynia-coins"
"Nikomedia (Nicomedia) (Darphane)","nikomedia-tr","46","1","1","tr-TR","Antik darphane","Nikomedia (Nicomedia)","Bitinya Krallığı'nın başkenti ve Roma İmparatorluğu'nun en önemli dört başkentinden biri olan Nikomedia, günümüz Kocaeli'nin İzmit ilçesidir.","bithynia-coins"
"Prusa (Prusa ad Olympum) (Darphane)","prusa-tr","46","1","1","tr-TR","Antik darphane","Prusa (Prusa ad Olympum)","Uludağ'ın (antik Olympos) eteklerine kurulan bu kent, günümüz Bursa şehridir ve Osmanlı İmparatorluğu'nun ilk başkentlerinden biridir.","bithynia-coins"
"Caesarea (Kayseri) (Darphane)","caesarea-tr","46","1","1","tr-TR","Antik darphane","Caesarea (Kayseri)","Kapadokya Krallığı'nın ve daha sonra Roma eyaletinin başkenti olan Caesarea (eski adıyla Mazaka), bölgenin en büyük ve en önemli darphane merkeziydi.","cappadocia-coins"
